path_before,path_after,label,synthetic,category,task
E:\KOSHKIN_DOM\image_cache\95337fab2d6a12faec17fe0142e20643.jpg,E:\KOSHKIN_DOM\image_cache\95337fab2d6a12faec17fe0142e20643.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\c3b30cdcf5489c015338f187d98664f0.jpg,E:\KOSHKIN_DOM\image_cache\c3b30cdcf5489c015338f187d98664f0.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\5fd100a621c120a0676c94bbb479eb60.jpg,E:\KOSHKIN_DOM\image_cache\0fa0ac343ed2991fa7bfb3dd3a3fc344.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\1dae54ce052fd15bd0e39c1b97350a89.jpg,E:\KOSHKIN_DOM\image_cache\92f407fa4b4d4e4229b1cc29644d2ddd.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\6d34b1fe58fb2371e7fbf957ec0d84cb.jpg,E:\KOSHKIN_DOM\image_cache\6d34b1fe58fb2371e7fbf957ec0d84cb.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\7ecfe2c851ff1a56d1b201b9c70244c5.jpg,E:\KOSHKIN_DOM\image_cache\7ecfe2c851ff1a56d1b201b9c70244c5.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\a8e1c8bcac759db921fe7647f030eac1.jpg,E:\KOSHKIN_DOM\image_cache\0a4f89ee5bd2a208939e16f99dbf094e.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\90d16b8af1ebd87c911669438cd5cb86.jpg,E:\KOSHKIN_DOM\image_cache\90d16b8af1ebd87c911669438cd5cb86.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\7536a3313ec6161768a3e6aa8a1667e0.jpg,E:\KOSHKIN_DOM\image_cache\40a6330d6fa7a4a98663ecaf094aced0.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\2dd683166627dea5039803eb2fa20255.jpg,E:\KOSHKIN_DOM\image_cache\2dd683166627dea5039803eb2fa20255.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\0be329308a01ae93cc1d734e6f072aa6.jpg,E:\KOSHKIN_DOM\image_cache\67ac58de822c76a20fdbc4a12e672b30.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\78809235b02b193cf39a8152e5f75e70.jpg,E:\KOSHKIN_DOM\image_cache\a75c8cd06243bca6f55a852c865cf25c.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\44aa7de8d530bed6c7d76c57857aa973.jpg,E:\KOSHKIN_DOM\image_cache\44aa7de8d530bed6c7d76c57857aa973.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\b69a98cca04657a3baa59007ba73dd16.jpg,E:\KOSHKIN_DOM\image_cache\b69a98cca04657a3baa59007ba73dd16.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\4c990554dbfbe7ec233960228419f0ef.jpg,E:\KOSHKIN_DOM\image_cache\4c990554dbfbe7ec233960228419f0ef.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\ad10121f2222e65460c4f6ee2446eb66.jpg,E:\KOSHKIN_DOM\image_cache\ad10121f2222e65460c4f6ee2446eb66.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\506484ddbe0baae7d2e088e5fac99c36.jpg,E:\KOSHKIN_DOM\image_cache\506484ddbe0baae7d2e088e5fac99c36.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\b9d23c6abe7c865a3c4fea9479b6bc15.jpg,E:\KOSHKIN_DOM\image_cache\b9d23c6abe7c865a3c4fea9479b6bc15.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\21f1917459c8bd075022545edcff8349.jpg,E:\KOSHKIN_DOM\image_cache\21f1917459c8bd075022545edcff8349.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\0ddaa3926fae0b3a3e6d04c3a1b0b874.jpg,E:\KOSHKIN_DOM\image_cache\171c7304d65f40b11f973c115bc0bb13.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\5262f742b8a56e198e411c7d9fc00210.jpg,E:\KOSHKIN_DOM\image_cache\5262f742b8a56e198e411c7d9fc00210.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\9eee306e49bc8061d8561879096a7a5b.jpg,E:\KOSHKIN_DOM\image_cache\9eee306e49bc8061d8561879096a7a5b.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\70ef1038ced798fff6a3ee8810d0daf1.jpg,E:\KOSHKIN_DOM\image_cache\f0ab0ff82a8ec31eeafbb514187778f8.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\c106d6647775b8c3053cd476cbb33165.jpg,E:\KOSHKIN_DOM\image_cache\ae557b255b74dfc4310f95b2b7b3bab6.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\c3548f2c3aabe05b75610e4426db747e.jpg,E:\KOSHKIN_DOM\image_cache\c3548f2c3aabe05b75610e4426db747e.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\c7e5f6ce46a92a382018c76f7a24b932.jpg,E:\KOSHKIN_DOM\image_cache\c7e5f6ce46a92a382018c76f7a24b932.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\3085e4b7af8cf7df4c4ff39ef746fc59.jpg,E:\KOSHKIN_DOM\image_cache\3085e4b7af8cf7df4c4ff39ef746fc59.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\9ed4ea2d16a2956a07905679adea7bb0.jpg,E:\KOSHKIN_DOM\image_cache\9ed4ea2d16a2956a07905679adea7bb0.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\7e7e22dd4f8cbd22017b472ca07275c6.jpg,E:\KOSHKIN_DOM\image_cache\7e7e22dd4f8cbd22017b472ca07275c6.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\c68b8dfa1d6840df870a5a29ce20968f.jpg,E:\KOSHKIN_DOM\image_cache\8dd6178e020ef0efd583aa2668abe1fd.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\911a54c5962e06e932594c9ab7c510cd.jpg,E:\KOSHKIN_DOM\image_cache\911a54c5962e06e932594c9ab7c510cd.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\a92de3ebe7daa726867bb913a3a1753b.jpg,E:\KOSHKIN_DOM\image_cache\a92de3ebe7daa726867bb913a3a1753b.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\510da2b0e082bb065d2ea169dd0290ab.jpg,E:\KOSHKIN_DOM\image_cache\251406fcfddc975fafb4ff5ad615ed8f.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\522416ae7cb4dcad3bbf4015e47ababe.jpg,E:\KOSHKIN_DOM\image_cache\522416ae7cb4dcad3bbf4015e47ababe.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\4384995b775853726ad5dc7302aeef07.jpg,E:\KOSHKIN_DOM\image_cache\4384995b775853726ad5dc7302aeef07.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\8a9a7bd5f249922e078d39f22a6f19cd.jpg,E:\KOSHKIN_DOM\image_cache\8c355765bf2a652a2bccc9b5eee2c1b3.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\f1d4fc66271d9610277a9d776de6502c.jpg,E:\KOSHKIN_DOM\image_cache\7e69b6319e4fa4d4f00a99f0bef64dfe.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\4a82bf72210bc62fa0df2c9a8b74106b.jpg,E:\KOSHKIN_DOM\image_cache\7f8f3d50f5cd0dc9010cc2ef37b0e71b.png,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\3ec310510ba99fc4963efb52caded573.jpg,E:\KOSHKIN_DOM\image_cache\18ff0827a434223a2425f311b55408b6.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\03145da75f15ed1cc1e7cf7f784b91c3.jpg,E:\KOSHKIN_DOM\image_cache\8776d825cdf57aeb8db4eb4d4adff76b.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\8398175a304f55cc82038e6309a55204.jpg,E:\KOSHKIN_DOM\image_cache\8398175a304f55cc82038e6309a55204.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\878f712de88bd9d4df85d5706fe60901.jpg,E:\KOSHKIN_DOM\image_cache\71169bea8a49936eee944011fb76d066.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\c7cd86f1c95783a19fbb0a63ca229e52.jpg,E:\KOSHKIN_DOM\image_cache\af2d95c9894e62da096638107db1debf.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\6bdbc204a6957e3a870ed629c655ea94.jpg,E:\KOSHKIN_DOM\image_cache\6bdbc204a6957e3a870ed629c655ea94.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\b126fa5d9a632d68df22d7a5df3fb0b6.jpg,E:\KOSHKIN_DOM\image_cache\f49955b15a232410a2e0100dd573464c.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\d1c784cd10c933b08adc004dd990ac83.jpg,E:\KOSHKIN_DOM\image_cache\5181a2c7c0ad621b35158850d4f5d8f1.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\7dd808f76f462140a82a23124bfcd0d5.jpg,E:\KOSHKIN_DOM\image_cache\5e5672252fed7239b321bb62242c4111.png,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\4bea201c72bf4290ebb668cf386e311b.jpg,E:\KOSHKIN_DOM\image_cache\4bea201c72bf4290ebb668cf386e311b.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\4d7558ed6b4a92942d172caed4c4e07e.jpg,E:\KOSHKIN_DOM\image_cache\78782783260f3464845f4a75d11015d7.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\4d8fe3d461696389b2a21408e148db46.jpg,E:\KOSHKIN_DOM\image_cache\512f77d4f7f82c763ae22f7207cd5d36.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\0f62ef328e1efc9b46d82412870199c8.jpg,E:\KOSHKIN_DOM\image_cache\77a0f2d3c7f480b2d56a9761faeda0f9.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\7a529bbf05a909ee722bef17405cb277.jpg,E:\KOSHKIN_DOM\image_cache\9dfb358d86a59cdd5222fa1cddd4d0b2.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\c6eaa1face15741a2a1f059c3a9dd853.jpg,E:\KOSHKIN_DOM\image_cache\f04e08f2b20dc0452b191808ed6ffaf2.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\ef0df89ccfdad69cb5dfa963118d0d29.jpg,E:\KOSHKIN_DOM\image_cache\7b934ec8d5b27d0fc6d1642f9fba90ca.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\213ea2cfff7ff502c9956c654b47c76a.jpg,E:\KOSHKIN_DOM\image_cache\1dad2471ed8aeee4733792cdf86c7870.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\a7744490e287896b204bf1ac59817de8.jpg,E:\KOSHKIN_DOM\image_cache\a7744490e287896b204bf1ac59817de8.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\03095df51fc02fb934cfbd1f2d868f35.jpg,E:\KOSHKIN_DOM\image_cache\03095df51fc02fb934cfbd1f2d868f35.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\fbd2b5779e5feec43e3ee930e0e48b6e.jpg,E:\KOSHKIN_DOM\image_cache\fbd2b5779e5feec43e3ee930e0e48b6e.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\53b321e3a2b4894f114f95205939caf6.jpg,E:\KOSHKIN_DOM\image_cache\53b321e3a2b4894f114f95205939caf6.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\8f65f1bb539feffe3c028b4db7e9fdd4.jpg,E:\KOSHKIN_DOM\image_cache\8f65f1bb539feffe3c028b4db7e9fdd4.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\849017287e0e2f2b08ffdb93e6730b94.jpg,E:\KOSHKIN_DOM\image_cache\cbc655e4103010e78c60f1f0678ae5f9.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\01fc3384685b3a728587ca12bfdbe3c6.jpg,E:\KOSHKIN_DOM\image_cache\a1748654f67dee5336949402e44ba4e0.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\9b5c86f2c27d8b9d1e7379724ee36677.jpg,E:\KOSHKIN_DOM\image_cache\9b5c86f2c27d8b9d1e7379724ee36677.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\73af06e210cc867f12ae90d13761079e.jpg,E:\KOSHKIN_DOM\image_cache\04152d16dfd4b54dce64bbecf4ac17e5.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\c2e6a9b756c20c4cc0a7623f250d8ff4.jpg,E:\KOSHKIN_DOM\image_cache\c2e6a9b756c20c4cc0a7623f250d8ff4.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\46d830d9d5c16a243f1bc71a0c435838.jpg,E:\KOSHKIN_DOM\image_cache\0ed4ff0694ca6f97ca895b0f03a56da4.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\ae69f95cd4bc2573cbd3744e763f19a2.jpg,E:\KOSHKIN_DOM\image_cache\ae69f95cd4bc2573cbd3744e763f19a2.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\8009428072193ee2bd27aa75facba875.jpg,E:\KOSHKIN_DOM\image_cache\8009428072193ee2bd27aa75facba875.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\49551d1f17d752100d9df17d3859fb94.jpg,E:\KOSHKIN_DOM\image_cache\49551d1f17d752100d9df17d3859fb94.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\3f5453328ad78c36f7dc9a4e8841bdd1.jpg,E:\KOSHKIN_DOM\image_cache\77fa5ad26dd0056a25ffad5fed09e33a.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\38ef4f6a49848aacac645261fbed0d28.jpg,E:\KOSHKIN_DOM\image_cache\0c785221ae3f1182e63ee16afc39de05.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\f5d4f5779d3da33781563abde335895c.jpg,E:\KOSHKIN_DOM\image_cache\8dafe18b3eb2c1c5726ad8efa8784426.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\f993c2dc942a12730bcaa715f55cef66.jpg,E:\KOSHKIN_DOM\image_cache\f993c2dc942a12730bcaa715f55cef66.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\19d753b599811c4f1ac4b3cf0010f26e.jpg,E:\KOSHKIN_DOM\image_cache\19d753b599811c4f1ac4b3cf0010f26e.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\4fed0a6f21b6371279d1b47043fdfb61.jpg,E:\KOSHKIN_DOM\image_cache\4fed0a6f21b6371279d1b47043fdfb61.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\ea94755d4d369fd41a1b5f4823c9fcd5.jpg,E:\KOSHKIN_DOM\image_cache\89c0aa19b0cafbca59e937b8ecb139fb.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\7821ce95c961002b3494916d3eb2e3b8.jpg,E:\KOSHKIN_DOM\image_cache\7821ce95c961002b3494916d3eb2e3b8.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\a3dc795490f420dc1d6c58df2acb832d.jpg,E:\KOSHKIN_DOM\image_cache\e64f9735f9d0a50fc60611527d18a371.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\37fa27ce24de5d4132a20e271e9b2f5a.jpg,E:\KOSHKIN_DOM\image_cache\37fa27ce24de5d4132a20e271e9b2f5a.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\fac840d3638a8b8ad225ba104a11cbce.jpg,E:\KOSHKIN_DOM\image_cache\fac840d3638a8b8ad225ba104a11cbce.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\f366f780d54d1500cf796c6301c5deef.jpg,E:\KOSHKIN_DOM\image_cache\f366f780d54d1500cf796c6301c5deef.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\57c24993a5204fc5d574711edba2e22f.jpg,E:\KOSHKIN_DOM\image_cache\f7e80a23492cc3cdd85b7f43370908c8.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\e5f540993bef17dc47fd13bd4277ba91.jpg,E:\KOSHKIN_DOM\image_cache\e5f540993bef17dc47fd13bd4277ba91.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\47f127c379715169a805355916ee3811.jpg,E:\KOSHKIN_DOM\image_cache\47f127c379715169a805355916ee3811.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\ac1c8632f1c270c7197837fc5ebe7a72.jpg,E:\KOSHKIN_DOM\image_cache\583ecf75d6dbc26357c995240501b7b7.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\93f2cec5e963b935b5cd2a7e7ac711a5.jpg,E:\KOSHKIN_DOM\image_cache\93f2cec5e963b935b5cd2a7e7ac711a5.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\46f790e8e5e60c3892cb10f5cd909139.jpg,E:\KOSHKIN_DOM\image_cache\80787412459aab0297abf67a9115620f.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\d7e146827a6b7476d891aa8b7210bcd0.jpg,E:\KOSHKIN_DOM\image_cache\d7e146827a6b7476d891aa8b7210bcd0.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\4d0a6a69a611fa69f0af5504d6c1c1d7.jpg,E:\KOSHKIN_DOM\image_cache\4d0a6a69a611fa69f0af5504d6c1c1d7.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\a7f502ad21422aa8b1388eed75837b88.jpg,E:\KOSHKIN_DOM\image_cache\a7f502ad21422aa8b1388eed75837b88.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\c86e3380a4f361b195edb5b36f18d2d7.jpg,E:\KOSHKIN_DOM\image_cache\c86e3380a4f361b195edb5b36f18d2d7.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\f18f949f5860bcc306fabb4d35483cd7.jpg,E:\KOSHKIN_DOM\image_cache\91e9a6b27d242d7e4b092bef0518a907.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\908cbd93224a1da9ffe08175907acba0.jpg,E:\KOSHKIN_DOM\image_cache\908cbd93224a1da9ffe08175907acba0.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\6d66b2d507496338d7e9eee307f9ed01.jpg,E:\KOSHKIN_DOM\image_cache\6d66b2d507496338d7e9eee307f9ed01.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\ef3642ef15c018bafbf24a8f4c8cbb17.jpg,E:\KOSHKIN_DOM\image_cache\ef3642ef15c018bafbf24a8f4c8cbb17.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\bf887cdaddb064a0d5111863b8585d0d.jpg,E:\KOSHKIN_DOM\image_cache\bf887cdaddb064a0d5111863b8585d0d.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\a88a483949c89adb2aa6761940e57a3d.jpg,E:\KOSHKIN_DOM\image_cache\b7e046ed1457935303b3753c3e350cf5.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\ef559f3c43499f60fa7a1adc94d1f737.jpg,E:\KOSHKIN_DOM\image_cache\de127ad1f8511e993a7519fcb24fc8db.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\0dc0fda7450b65582aec7d246f3675ba.jpg,E:\KOSHKIN_DOM\image_cache\0dc0fda7450b65582aec7d246f3675ba.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\094d43b616b28e22185428e921eaf7ae.jpg,E:\KOSHKIN_DOM\image_cache\918b09c7d12bf478f5b4d9379ab08613.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\041e7e98ee30a980d7d13b277910ecc7.jpg,E:\KOSHKIN_DOM\image_cache\041e7e98ee30a980d7d13b277910ecc7.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\27d2a2fc02eeddc06e2394557fb96a51.jpg,E:\KOSHKIN_DOM\image_cache\081312d820b5817200244b9fbf3273ff.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\3b6524e4bb7a54ba5194fc21c4f7d5bc.jpg,E:\KOSHKIN_DOM\image_cache\3b6524e4bb7a54ba5194fc21c4f7d5bc.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\3b35e9ed735edcded0040eb3209cd101.jpg,E:\KOSHKIN_DOM\image_cache\2ca4b630310a35ea2e1b99dc37a56e26.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\ae5b32468a786d0758dbab3ce5e7ce7e.jpg,E:\KOSHKIN_DOM\image_cache\ae5b32468a786d0758dbab3ce5e7ce7e.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\f4ad2454defc81143b9921e01f549685.jpg,E:\KOSHKIN_DOM\image_cache\f4ad2454defc81143b9921e01f549685.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\86c1dbb974dc191c7372402c882c3899.jpg,E:\KOSHKIN_DOM\image_cache\86c1dbb974dc191c7372402c882c3899.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\d6c23e51b9faee9bec6e04c04eb5c79f.jpg,E:\KOSHKIN_DOM\image_cache\d6c23e51b9faee9bec6e04c04eb5c79f.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\ddb6b3e1b6b4df22ba794835c5986f0a.jpg,E:\KOSHKIN_DOM\image_cache\87995dc3fca5193588f66cb4bad3c36b.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\c58e2293e532be9cce89284756e0ceb4.jpg,E:\KOSHKIN_DOM\image_cache\0386806ca159aaea87cb4193fd80d97e.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\764f7e15f7d7ddf7678320e2c2d2fb7c.jpg,E:\KOSHKIN_DOM\image_cache\764f7e15f7d7ddf7678320e2c2d2fb7c.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\64597901df91a8a2ff9aeef993abe272.jpg,E:\KOSHKIN_DOM\image_cache\64597901df91a8a2ff9aeef993abe272.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\27c484a516bcade817dae6ef38cb56cb.jpg,E:\KOSHKIN_DOM\image_cache\3ac14b2079ea31a9c66d5c847656356b.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\09b125609010b55361d6ff4acdc82ae6.jpg,E:\KOSHKIN_DOM\image_cache\09b125609010b55361d6ff4acdc82ae6.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\d5faef66d41995a5a36c126eedd4df34.jpg,E:\KOSHKIN_DOM\image_cache\07a73304cfbaa26fe3c71e81b023c482.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\0f92697e3fc2bd3cb6729862dee70926.jpg,E:\KOSHKIN_DOM\image_cache\201463329bed8872fabcefb8275fa376.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\9d81772e8e379fb9ebd5a910940041ac.jpg,E:\KOSHKIN_DOM\image_cache\86a6e9a0bb3b52baf491e355fb7e21a2.jpeg,1,0,lawn,
